id1,id2,title,sponsor,cosponsor,purpose,justification,history,vote,fiscal,edate,link
A00095,A95,"An act to amend the labor law, in relation to the development and imple- mentation of written workplace sexual harassment, sexual assault, and discrimination policies by corporations; to amend the tax law, in relation to reporting requirements and eligibility for tax credits based on a corporation's record of sexual harassment, sexual assault, and discrimination among and between employees of such corporation; and requires the division of human rights to promulgate standards relating to eligibility for state tax credits",Rosenthal L,Simon,"This bill relates to eligibility of tax credits based on a corporation's record of sexual harassment, sexual assault, and discrimination among and between employees of such, corporation. SUMMARY OF SPECIFIC PROVISIONS","Sexual harassment is a scourge in our society, prevalent across indus- tries and professions. As recent revelations drive home, the culture that enables this harassment is often cultivated and safeguarded by employers. Though New York State has a strong policy against sexual harassment and discrimination, it sends mixed messages to employers when it provides tax credits to companies that harbor a culture of sexual harassment. New York State taxpayers should not subsidize businesses that shield sexual harassment and misconduct. Though tax credits are used to incen- tivize economic development, economic development should not come at the expense of employee safety. This legislation requires that every corporation develop and implement a written workplace sexual harassment, sexual assault and discrimination policy. Corporations must also maintain detailed records of all claims filed and keep these records for a period of five years. Under this legislation, any corporation subject to taxation shall file an annual report with the New York State Division of Human Rights, which will include the corporate policy on handling of such claims, and the outcome of each claim filed. Following a review from the Division of Human Rights, corporations will receive a certificate if they are deemed eligible to receive tax credits. Any company deemed noncompliant follow- ing this review, will be ineligible for any tax credit provided by the state of New York. The Division of Human Rights will establish the stan- dard by which corporations shall be eligible for state tax credits based on their record. These steps will increase transparency, promote the values of equality and justice and ensure that taxpayers are not subsi- dizing egregious, illegal behavior.",2021-22: A.140 - Referred to Labor 2019-20: A.24 - Referred to Labor 2017-18: A.9797 - Referred to Labor,There are no votes for this bill in this legislative session.,Undetermined.,"This bill shall take effect on January 1, 2024.",https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A00095&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A00108,A108,"An act to amend the labor law, in relation to prohibiting employers from certain monitoring activities of employees working at home",Rosenthal L,,This legislation will protect employee privacy by prohibiting employers from installing tracking programs on the personal devices of employees working from home. SUMMARY OF SPECIFIC PROVISIONS,"During the COVID-19 pandemic, employees around the state began working from home and it is expected that many will continue to do so going forward. Once employees began working from home en masse, many companies implemented systems and programs to monitor their employee's work and productivity. An April 2020 news article in The Washington Post revealed that many employers requested or required employees working from home to download apps or programs to their personal computers and other devices to track their activity throughout the day. These programs allow employ- ers to track keyboard strokes, mouse movements, website browsing histo- ries, view UPS location, take screen captures and even access the webcams installed on devices to routinely take photos to ensure the employee is actively working. Employees working inside their own homes should not be under constant surveillance by their employer. The increased popularity of these programs also creates the opportunity for employers to continue tracking employees once the pandemic subsides and employees return to their work- place. With the increase in the number of employees working from home, these programs set a dangerous precedent for the privacy of workers going forward. As our concept of a modern workplaces changes over time and as a result of technological advances, these tracking programs further blur the line between personal and professional time. This legislation will prohibit any employer in the state of New York from requiring or requesting that an employee download or install any type of tracking program to their personal device. It also strictly limits the type of information that can be collected on a company-owned device.",2021-22: A.6090 - Referred to Labor 2019-20: A.10657 - Referred to Labor,There are no votes for this bill in this legislative session.,None.,This act shall take effect immediately.,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A00108&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A00231,A231,"An act directing a study on the impact of increased minimum wage on eligibility for income-based services, programs and subsidies and the impact of loss of services on the working poor",Eichenstein,,"The bill directs a study on the impact of increased wages on eligibility for income-based services, programs and subsidies.","It is the State's responsibility to protect and ensure that working class New Yorkers are not harmed by legislative action. Furthermore, in a time when the State of New York is tackling issues of poverty and of a living wage for the working class, it is essential to make sure that any extrinsic services, programs and subsides related to or involved with the State are carefully examined to not negate the purposes of raising the minimum wage. New York State is focused on prosperity for all and the study and report required by this bill will advance that ideal by making sure that the state is helping families more than hindering their financial and personal growth.",2022: A6925 - Referred to labor 2020: Delivered to Senate and referred to Rules 2019: Vetoed memo. 221,There are no votes for this bill in this legislative session.,TBD,This act shall take effect immediately.,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A00231&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A00233,A233,An act requiring the department of labor to conduct a study to determine and report on the potential impact of driverless vehicles on occupations and employment; and providing for the repeal of such provisions upon expiration thereof,Rosenthal L,,This bill creates a study through the Department of Labor to determine the potential effects of driverless vehicles on occupations and employ- ment in New York State. SUMMARY OF SPECIFIC PROVISIONS,"The automobile industry is set to experience a rapid transformation with the advances in self-driving car technology. At such a pivotal point in the industry, New York must be prepared for the day when driverless cars and trucks become the norm for a number of services, such as taxis and commercial deliveries. This bill will initiate a study through the Department of Labor to determine the potential impact driverless vehicles will have on occupa- tions and employment throughout the State.",2021-22: A.639 - Referred to Labor 2019-20: A.301- Referred to Labor 2017-18: A.2990 - Referred to Labor,There are no votes for this bill in this legislative session.,Undetermined.,"This act shall take effect immediately and shall expire and be deemed repealed on January 1, 2024.",https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A00233&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A00246,A246,"An act to amend the workers' compensation law, in relation to the estab- lishment of rates of payment and delivery of health care services",Magnarelli,,To require the Workers' Compensation Board to biennially prepare and establish a rate schedule for health care rendered under workers compen- sation system.,"The Workers' Compensation Board has not adjusted rates of payment for health care providers for over 10 years. Today, New York's rates are the lowest or near the lowest in the country for many health care services. Payments for health care services rendered pursuant to the workers' compensation system do not reflect the current cost health care, includ- ing labor, property and energy costs. As a result, many providers no longer participate in the workers' compensation system, and those that do struggle to maintain quality services in light of the low payment levels. The bill would require the Workers' Compensation Board to under- take the process of examining the appropriateness of rates of payment annually, something the board is currently required to do.",2011-2012: A.7356 Referred to labor 2013-2014: A.7661 Referred to labor 2015-2016: A.3158 Referred to labor 2017-2018: A.7455 Referred to labor 2019-2020: A.6516 Referred to labor 2021-2022: A.1307 Referred to labor,There are no votes for this bill in this legislative session.,None,Immediately,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A00246&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A00283,A283,"An act to amend the labor law, in relation to requiring the use of qual- ified local labor",Bronson,,This bill intends to assist construction trade workers in regions of high unemployment. SUMMARY OF SPECIFIC PROVISIONS,"Investments in local labor directly benefits local economies. During periods of high unemployment, public capital projects provide an influx of money through the wages paid to workers. New York State, through its localities, benefits from these resources only when workers stay in the area. This bill would ensure that workers in areas of high unemployment are not pushed further out of employment by workers from other areas. Furthermore, this bill would benefit localities by allowing them to require local labor on construction projects when such a requirement would result in the best work performed at the lowest price.",A.4730 of 2016: referred to Labor; A9742 of 2017-18:referred to Labor; A650 of 2019-20:referred to Labor; A1111 of 2021-22:referred to Labor,There are no votes for this bill in this legislative session.,To be determined.,30 days after it shall have become law.,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A00283&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A00294,A294,"An act to amend the workers' compensation law, in relation to allowing certain claimants to be reclassified to permanent total disability or total industrial disability due to extreme hardship",Bronson,"Reyes, Shrestha, Davila",,"Workers' Compensation boards are currently mandated to provide extreme hardship benefits to recipients whose household incomes are less than 75% of an average weekly wage upon termination of the disability bene- fits. Extreme hardship can be applied for within a year of workers' compensation recipient's benefits being extinguished. If won, a worker is granted total permanent disability benefits. The workers' compen- sation board currently defines extreme hardship as the inability to meet household bills taking into account the injured worker's income as well as that of other household members. This bill makes it easier for a worker to earn extreme hardship by redefining lost wage earning capacity at 50% instead of 75%. This will be especially helpful to workers who are older who might opt into their social security benefits earlier without a larger worker compensation benefit package.",A.1098 of 2021-22: referred to Labor,There are no votes for this bill in this legislative session.,To be determined.,This act shall take effect immediately.,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A00294&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A00310,A310,An act directing the commissioner of labor to conduct a labor market study and establishing a temporary labor task force for home care and hospice services and occupations in New York State; and providing for the repeal of certain provisions upon the expiration thereof,Bronson,,"To authorize the state commissioner of labor, with the assistance of collaborating state agencies, to conduct a competitive labor market study to assess and make recommendations for home care and hospice capa- bility to compete in the labor market for recruitment and retention of direct care staff to meet patient and health system needs, and to estab- lish a taskforce to promote entrance, practice, career development and retention in home health and hospice occupations, including home health aide, nursing, physical therapy, occupational therapy, social work and others that the commissioner designates. SUMMARY OF SPECIFIC PROVISIONS","Both New York State and the United States Department of Labor analyses show home care occupations to be among the top projected occupational needs for the foreseeable future. The needs are driven and compounded by: major demographic changes (in particular the aging of the popu- lation); changes in state of the art medical practice enabling individ- uals to live longer, and to survive and live adapting to major trauma and chronic illness; major changes in hospital and institutional care use prompted by state and federal health care reforms; and other. Recruitment and retention of individuals for health occupations in home care and hospice sufficient to meet demand is a major challenge on its own, but is made more complex by home care and hospice's less compet- itive positions in the labor market and in the lesser awareness and interest of individuals to enter and work in the home care and hospice fields. Home care and hospice& ability to compete to-recruit and retain staff is at a huge disadvantage as these providers are also most often not reimbursed at competitive levels with other major employers in the market for the same health labor force, and when work in the home care and hospice fields is inherently demanding in unique and extremely chal- lenging ways. The lack of individuals entering and staying in home care and hospice occupations, in comparison to the current and future need, is of crisis proportions around NYS in terms Of patient access and over- all health system function. This legislation takes on critical short awl long term elements that need to be addressed in to ensure an adequate health home health and hospice labor force, and indeed, adequate health care, for New Yorkers.",2021-22: referred to Labor 2019-20 referred to labor,There are no votes for this bill in this legislative session.,None. The legislation seeks corrections and initiatives that will prevent higher costs to the state by enabling the home care and hospice systems to have adequate staff to service the patient and community need. Any rate reimbursement changes or other fiscal measures recom- mended to the Legislature and Governor by either the market study or the labor task force would be subject to future budget decision-making.,"Immediately, provided that the task force provisions of the bill shall expire on and after January 31, 2024.",https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A00310&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A00312,A312A,"An act to amend the labor law and the estates, powers and trusts law, in relation to establishing protections for minors who are featured in influencer-generated content",Rosenthal L,,This legislation will provide protection to minors who are featured in online videos and social media content that generates earnings. SUMMARY OF SPECIFIC PROVISIONS:,"The internet has created a world where anyone with a smartphone can become a producer of content and parents and other caretakers can easily upload videos of children, creating viral moments. Child influencers, or children who star in online content that generates earnings for the account holder, lack the protections granted to chil- dren working in the film and television industry. With more parents and children creating social media content each day, there is an increased need for regulations to protect children against exploitation. In 2016, Myka and James Stauffer rose to internet fame as they chroni- cled their family's journey to adopt a special needs child named Huxley from China. Huxley's participation in the content created by the Stauf- fers yielded lucrative results, including product sponsorships, and garnered millions of loyal viewers. Unfortunately, the couple shockingly revealed their decision to ""rehome"" Huxley nearly 2 1/2 years after his adoption. It is it unclear whether the child reaped any financial bene- fit from the franchise he had no choice in creating. Our labor laws have not kept pace with the digital age, and as a result, ""kid influencers"" are falling through the cracks. This bill will ensure that children that participate in creating online content receive their share of earnings that the content may generate. Like children working in the film and television industry, this legislation would require the creation of a trust account for minors when their appearances make up a significant portion of the content shared on such account and generates earnings. The earnings set aside shall become available to child upon turning eighteen.",2021-22: A.3720 - Referred to Labor 2019-20: A.10562 -Referred to Labor,There are no votes for this bill in this legislative session.,None to the State.,90 days.,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A00312&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A00334,A334,"An act to amend the workers' compensation law, in relation to the provision of prescription medicine to workers' compensation claimants",Bronson,,Authorizes workers' compensation claimants to use any in-state pharmacy that is registered with the education department,"This bill will provide workers compensation claimants with greater flex- ibility by allowing them to fill their prescriptions not only at network pharmacies with whom an employer or carrier encourages an exclusive relationship, but also at pharmacies that are registered as resident, in-state pharmacies with the New York State Department of Education. While providing injured claimants with the convenience they need to best remedy their ailments, this legislation also has the added benefit of conferring economic gain to our State's small businesses. FISCAL IMPACT",A1174 of 2021-22: referred to Labor A1250 of 2019-20: referred to Labor A8356 of 2017-18: referred to Labor,There are no votes for this bill in this legislative session.,To be determined PRIOR LEGISLATIVE HISTORY,This act will take effect on the one hundred twentieth day after it shall have become a law.,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A00334&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
